"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%88%D8%A8%D8%B7%D8%A7%D8%B7%D8%B3+%D9%85%D8%B4%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2efd86e61a27bf:0x3c83d3055bf48572!8m2!3d24.7619053!4d46.7154982!16s%2Fg%2F1pp2vm07f!19sChIJvyca5ob9Lj4RcoX0WwXTgzw?authuser=0&hl=ar&rclk=1","برجر وبطاطس مشوي","4.1","(2,227)","·","$$","مطعم","·","","·","طريق عثمان بن عفان","مفتوح","⋅ يغلق ٢ ص","https://lh5.googleusercontent.com/p/AF1QipMPfuYWvErpvfLhcS9QxspUQ5HYjLI7GxXC140=w122-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2f048c1b5c23ad:0x818f63c5653a178d!8m2!3d24.6631731!4d46.7040959!16s%2Fg%2F11c0r5crj0!19sChIJrSNcG4wELz4RjRc6ZcVjj4E?authuser=0&hl=ar&rclk=1","برجر كنج","4.1","(94)","·","$$","هامبرغر","·","","·","شارع الأمير فيصل بن تركي بن عبدالعزيز، Riyadh Avenue Mall, Lulu Hypermarket","مفتوح","⋅ يغلق ١١ م","https://lh5.googleusercontent.com/p/AF1QipNnJG4z5A-eynlcs3BYsrZG7ZCJNJv-oUnVjaJQ=w92-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%AC%D8%A7%D9%86+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2ee2b7d0ce7627:0x5050ee82d743d673!8m2!3d24.758777!4d46.662924!16s%2Fg%2F11csqhwzzt!19sChIJJ3bO0LfiLj4Rc9ZD14LuUFA?authuser=0&hl=ar&rclk=1","جان برجر","3.8","(776)","·","$$","مطعم","·","","شارع الامير تركي بن عبدالعزيز الثاني","","مفتوح","⋅ يغلق ٤ ص","https://lh5.googleusercontent.com/p/AF1QipPSfqpphOO6X3mkNanwbBcJjpNFqbDMk9apjlmW=w80-h106-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/Pow+burger/data=!4m7!3m6!1s0x3e2efdffc9c27fcf:0xb5370f08374d17ee!8m2!3d24.7550727!4d46.6792064!16s%2Fg%2F11pz0qf5gm!19sChIJz3_Cyf_9Lj4R7hdNNwgPN7U?authuser=0&hl=ar&rclk=1","Pow burger","3.4","(57)","","","هامبرغر","·","","3112 طريق الامام سعود بن عبدالعزيز بن محمد الفرعي","","مفتوح","⋅ يغلق ٢ ص","https://lh5.googleusercontent.com/p/AF1QipN_zT_R98QJhxdVxarrGNSAuv8ORTjKqoxfDbBz=w92-h92-k-no","الجلوس داخل المكان","·","الإيصال إلى السيارة","·","خدمة التوصيل"
"https://www.google.com/maps/place/%D9%85%D9%8A%D9%86%D9%8A+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f037cc3e36cd7:0xf6186279e175fc95!8m2!3d24.6931995!4d46.6951104!16s%2Fg%2F11nrsp00ks!19sChIJ12zjw3wDLz4Rlfx14XliGPY?authuser=0&hl=ar&rclk=1","ميني برجر","3.6","(55)","","","مورد طعام وشراب","·","","طريق الأمير سلطان بن عبدالعزيز","","مفتوح","⋅ يغلق ١٢ ص","https://lh5.googleusercontent.com/p/AF1QipM50rl69jyPElpkPKAOnd8Z8mMrJWx7wCWo0WOw=w100-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","خدمة التوصيل"
"https://www.google.com/maps/place/%D9%81%D8%A7%D9%8A%D8%B1+%D9%81%D9%84%D8%A7%D9%8A+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2ee33ae51b4f6b:0xec1bae65692875d9!8m2!3d24.7879142!4d46.6589394!16s%2Fg%2F11ggr7wcrp!19sChIJa08b5TrjLj4R2XUoaWWuG-w?authuser=0&hl=ar&rclk=1","فاير فلاي برجر","4.2","(2,353)","·","$$","مطعم","·","","طريق الملك عبدالعزيز","","مفتوح","⋅ يغلق ١ ص","https://lh5.googleusercontent.com/p/AF1QipOG1_BZf8j3shIsGCwMX7Gtq4-sQbQNo5FfXpcu=w138-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/simple+burger/data=!4m7!3m6!1s0x3e2f054a86c71dcd:0x1dc6ba0f55efe9e5!8m2!3d24.7559533!4d46.6758124!16s%2Fg%2F11sk9g4_zc!19sChIJzR3HhkoFLz4R5envVQ-6xh0?authuser=0&hl=ar&rclk=1","simple burger","4.6","(135)","","","مطعم","·","","طريق الملك عبدالعزيز","","مفتوح","⋅ يغلق ٣ ص","https://lh5.googleusercontent.com/p/AF1QipP7XyvdXDmVUAFwAy0VlrA47yUD_-I4bm4cq-8x=w137-h92-k-no","الجلوس داخل المكان","·","خدمة الطلب أثناء القيادة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2f03f42ea13d31:0x86b5eff4fb5da3e3!8m2!3d24.691595!4d46.732735!16s%2Fg%2F1v7pwyyv!19sChIJMT2hLvQDLz4R46Nd-_TvtYY?authuser=0&hl=ar&rclk=1","برجر كنج","4.1","(1,564)","·","$$","هامبرغر","·","","·","","Next to Xerox, Dareen Center, Al Ehsaa St","مفتوح على مدار 24 ساعة","https://lh5.googleusercontent.com/p/AF1QipNRT88cljSJhvYOlKHdnGX8sM12yENTGjP_qE_0=w92-h92-k-no","الجلوس داخل المكان","·","خدمة الطلب أثناء القيادة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A8%D9%84%D8%A7%D9%83+%D8%AA%D8%A7%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x3e2ee350a0290c19:0xbbe9c15b192a4d49!8m2!3d24.7605784!4d46.6406183!16s%2Fg%2F11sz2t2qx8!19sChIJGQwpoFDjLj4RSU0qGVvB6bs?authuser=0&hl=ar&rclk=1","بلاك تاب","4.0","(2,931)","","","مطعم","·","","·","⋅ يغلق ٢ ص","3.04","مفتوح","https://lh5.googleusercontent.com/p/AF1QipNhjmxF7kGn0t08FNf3aRP8rfyjPHfSft9bhtaT=w80-h106-k-no","""","","البرجر","","عندهم افضل"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2f03414c83d479:0xaf94b2a1aa46134d!8m2!3d24.742197!4d46.679733!16s%2Fg%2F11mvy3m9y3!19sChIJedSDTEEDLz4RTRNGqqGylK8?authuser=0&hl=ar&rclk=1","برجر كنج","4.3","(82)","·","$$","هامبرغر","·","","·","طريق الملك عبدالعزيز، Hayat Mall","مفتوح","⋅ يغلق ١٢ ص","https://lh5.googleusercontent.com/p/AF1QipNd5zsEEkUv0LACeAUBpbNKWA2IGIB_riR8uSUt=w92-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/Cleaver+Burger+%D9%83%D9%84%D9%8A%DA%A4%D8%B1+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%8E%E2%80%AD/data=!4m7!3m6!1s0x3e2efdf067f36779:0xd55fcec66d6ddd90!8m2!3d24.7825377!4d46.7051483!16s%2Fg%2F11pyp565kj!19sChIJeWfzZ_D9Lj4RkN1tbcbOX9U?authuser=0&hl=ar&rclk=1","Cleaver Burger كليڤر برجر‎","4.3","(1,226)","","","مطعم","·","","طريق عثمان بن عفان","","مفتوح","⋅ يغلق ٢:٣٠ ص","https://lh5.googleusercontent.com/p/AF1QipOmqT_loYq8JSjZG3Q4PR1kQP0U3-7uL7mtmKkF=w92-h92-k-no","الجلوس داخل المكان","·","الإيصال إلى السيارة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2f0342d5ce70e3:0x261822adedd52617!8m2!3d24.7118808!4d46.6748875!16s%2Fg%2F11mvy36xz_!19sChIJ43DO1UIDLz4RFybV7a0iGCY?authuser=0&hl=ar&rclk=1","برجر كنج","4.3","(63)","·","$$","هامبرغر","·","","·","⋅ يغلق ١١ م","Near to Ibis Riyadh Hotel، Kingdom Tower، طريق العروبة","مفتوح","https://lh5.googleusercontent.com/p/AF1QipNloXjMwsQ1Nz_4mhVdgdgdZbJvjxR4OknKV0VK=w92-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
